generic_food_id,usda_food_key,usda_food_name,weight,is_primary,sort_order,mapping_note
hummus,beans_lentils_and_peas_fresh_dried,Beans lentils and peas fresh dried,1.0,true,1,Approximate hummus to chickpea/legume group
eggs,egg_and_egg_substitutes,Egg and egg substitutes,1.0,true,1,Approximate eggs to egg and egg substitutes
milk,reduced_fat_low_fat_and_skim_milk,Reduced-fat low-fat and skim milk,0.7,true,1,Generic milk leans toward reduced-fat/skim market mix
milk,whole_milk,Whole milk,0.3,false,2,Blend in whole milk coverage
greek_yogurt,reduced_fat_low_fat_and_skim_yogurt,Reduced-fat low-fat and skim yogurt,0.8,true,1,Generic Greek yogurt leans toward lower-fat yogurt market mix
greek_yogurt,whole_yogurt,Whole yogurt,0.2,false,2,Blend in whole yogurt coverage
protein_yogurt,reduced_fat_low_fat_and_skim_yogurt,Reduced-fat low-fat and skim yogurt,1.0,true,1,Approximate protein yogurt to reduced-fat yogurt
cottage_cheese,cheese_and_cream_cheese,Cheese and cream cheese,1.0,true,1,Approximate cottage cheese to soft cheese group
ricotta,cheese_and_cream_cheese,Cheese and cream cheese,1.0,true,1,Approximate ricotta to soft cheese group
cheese,cheese_and_cream_cheese,Cheese and cream cheese,1.0,true,1,Approximate cheese to cheese and cream cheese
chicken_breast,chicken_turkey_and_game_birds_fresh,Chicken turkey and game birds fresh,1.0,true,1,Approximate chicken breast to fresh chicken group
rotisserie_chicken,chicken_turkey_and_game_birds_fresh,Chicken turkey and game birds fresh,1.0,true,1,Approximate rotisserie chicken to fresh chicken group
turkey,chicken_turkey_and_game_birds_fresh,Chicken turkey and game birds fresh,1.0,true,1,Approximate turkey to fresh poultry group
ground_beef,beef_pork_lamb_veal_and_game_fresh,Beef pork lamb veal and game fresh,1.0,true,1,Approximate ground beef to fresh red meat group
salmon,fish_and_seafood_fresh,Fish and seafood fresh,1.0,true,1,Approximate salmon to fresh fish and seafood
shrimp,fish_and_seafood_fresh,Fish and seafood fresh,1.0,true,1,Approximate shrimp to fresh fish and seafood
tuna,fish_and_seafood_canned,Fish and seafood canned,1.0,true,1,Approximate tuna to canned fish and seafood
sardines,fish_and_seafood_canned,Fish and seafood canned,1.0,true,1,Approximate sardines to canned fish and seafood
tofu,tofu_and_meat_substitutes,Tofu and meat substitutes,1.0,true,1,Approximate tofu to tofu and meat substitutes
veggie_burger,tofu_and_meat_substitutes,Tofu and meat substitutes,1.0,true,1,Approximate veggie burger to tofu and meat substitutes
almonds,nuts_and_seeds,Nuts and seeds,1.0,true,1,Approximate almonds to nuts and seeds
cashews,nuts_and_seeds,Nuts and seeds,1.0,true,1,Approximate cashews to nuts and seeds
nuts,nuts_and_seeds,Nuts and seeds,1.0,true,1,Approximate mixed nuts to nuts and seeds
walnuts,nuts_and_seeds,Nuts and seeds,1.0,true,1,Approximate walnuts to nuts and seeds
peanut_butter,nut_and_seed_butters_and_spreads,Nut and seed butters and spreads,1.0,true,1,Approximate peanut butter to nut and seed butters
almond_butter,nut_and_seed_butters_and_spreads,Nut and seed butters and spreads,1.0,true,1,Approximate almond butter to nut and seed butters
olive_oil,fats_and_oils,Fats and oils,1.0,true,1,Approximate olive oil to fats and oils
