generic_food_id,display_name,food_family,default_serving_g,purchase_unit,purchase_unit_size_g,vegetarian,vegan,dairy_free,gluten_free,high_protein,breakfast_friendly,prep_level,shelf_stability,commonality_rank,notes,meal_type,budget_score,shelf_stable,cold_only,microwave_friendly
pasta,Pasta,grain,56,box,454,true,true,true,false,false,false,medium,stable,38,Dried pasta.,lunch|dinner,5,true,false,true
quinoa,Quinoa,grain,45,bag,500,true,true,true,true,true,false,medium,stable,39,Raw quinoa.,lunch|dinner,2,true,false,true
tortilla,Tortilla,grain,50,pack,320,true,true,false,false,false,false,none,stable,40,Wheat tortilla wrap.,lunch|dinner,3,true,false,true
sweet_potatoes,Sweet potatoes,produce,130,bag,1360,true,true,true,true,false,false,medium,stable,41,Raw sweet potatoes.,side|snack,4,true,false,true
couscous,Couscous,grain,60,box,500,true,true,true,false,false,false,low,stable,42,Precooked couscous.,lunch|dinner,4,true,false,true
barley,Barley,grain,45,bag,500,true,true,true,false,false,false,medium,stable,43,Pearled barley.,lunch|dinner,5,true,false,true
bagel,Bagel,grain,95,pack,510,true,true,true,false,false,true,none,stable,44,Plain bagel.,lunch|dinner|breakfast,3,true,false,true
pita,Pita bread,grain,60,pack,360,true,true,true,false,false,true,none,stable,45,Pita bread.,lunch|dinner|breakfast,3,true,false,true
corn,Corn,grain,90,bag,500,true,true,true,true,false,false,medium,stable,46,Dry corn or maize grain.,lunch|dinner,4,true,false,true
corn_tortilla,Corn tortilla,grain,48,pack,288,true,true,true,true,false,false,none,stable,47,Corn tortilla wrap.,lunch|dinner,3,true,false,true
corn_flakes,Corn flakes,grain,30,box,375,true,true,true,true,false,true,none,stable,48,Plain corn flakes cereal.,lunch|dinner|breakfast,3,true,false,false
apples,Apples,produce,182,bag,1360,true,true,true,true,false,true,none,ambient,49,Raw apples.,side|snack|breakfast,3,false,false,false
oranges,Oranges,produce,140,bag,1360,true,true,true,true,false,true,none,ambient,50,Raw oranges.,side|snack|breakfast,3,false,false,false
berries,Berries,produce,140,clamshell,340,true,true,true,true,false,true,none,chilled,51,Mixed berries average of strawberry blueberry and blackberry.,side|snack|breakfast,2,false,true,false
carrots,Carrots,produce,61,bag,907,true,true,true,true,false,false,low,stable,52,Raw carrots.,side|snack,5,true,false,false
tomatoes,Tomatoes,produce,123,pack,450,true,true,true,true,false,false,low,ambient,53,Raw tomatoes.,side|snack,3,false,false,false
cucumber,Cucumber,produce,100,pack,300,true,true,true,true,false,false,none,chilled,54,Raw cucumber.,side|snack,3,false,true,false
bell_peppers,Bell peppers,produce,120,bag,450,true,true,true,true,false,false,medium,chilled,55,Sweet bell peppers approximated with red and green peppers.,side|snack,3,false,true,false
avocado,Avocado,produce,75,bag,340,true,true,true,true,false,false,none,ambient,56,Raw avocado.,side|snack,2,false,false,false
cauliflower,Cauliflower,produce,100,crown,600,true,true,true,true,false,false,medium,chilled,57,Raw cauliflower.,side|snack,3,false,true,true
lettuce,Lettuce,produce,85,head,500,true,true,true,true,false,false,none,chilled,58,Raw lettuce.,side|snack,3,false,true,false
grapes,Grapes,produce,151,bag,900,true,true,true,true,false,true,none,ambient,59,Raw table grapes.,side|snack|breakfast,3,false,false,false
mushrooms,Mushrooms,produce,70,pack,227,true,true,true,true,false,false,low,chilled,60,Raw button mushrooms.,side|snack,3,false,true,false
zucchini,Zucchini,produce,124,bag,600,true,true,true,true,false,false,medium,chilled,61,Raw zucchini.,side|snack,3,false,true,false
kale,Kale,produce,67,bag,227,true,true,true,true,false,false,medium,chilled,62,Raw curly kale.,side|snack,3,false,true,false
onions,Onions,produce,110,bag,907,true,true,true,true,false,false,medium,stable,63,Raw onions.,side|snack,5,true,false,false
peas,Peas,produce,80,bag,340,true,true,true,true,true,false,low,stable,64,Raw green peas.,side|snack,3,true,false,true
celery,Celery,produce,110,bunch,500,true,true,true,true,false,false,none,chilled,65,Raw celery stalk.,side|snack,3,false,true,false
brussels_sprouts,Brussels sprouts,produce,88,bag,340,true,true,true,true,false,false,medium,chilled,66,Raw Brussels sprouts.,side|snack,3,false,true,false
green_beans,Green beans,produce,90,bag,340,true,true,true,true,false,false,medium,chilled,67,Raw French beans.,side|snack,3,false,true,true
asparagus,Asparagus,produce,90,bunch,340,true,true,true,true,false,false,medium,chilled,68,Raw green asparagus.,side|snack,3,false,true,false
cabbage,Cabbage,produce,89,head,900,true,true,true,true,false,false,medium,chilled,69,Raw green cabbage.,side|snack,5,false,true,false
beetroot,Beetroot,produce,82,bag,450,true,true,true,true,false,false,medium,stable,70,Raw beetroot.,side|snack,3,true,false,false
pears,Pears,produce,178,bag,900,true,true,true,true,false,true,none,ambient,71,Raw pears.,side|snack|breakfast,3,false,false,false
kiwi,Kiwi,produce,76,pack,454,true,true,true,true,false,true,none,chilled,72,Raw kiwi fruit.,side|snack|breakfast,3,false,true,false
pineapple,Pineapple,produce,140,whole,900,true,true,true,true,false,false,medium,ambient,73,Raw pineapple.,side|snack,3,false,false,false
mango,Mango,produce,140,pack,700,true,true,true,true,false,false,medium,ambient,74,Raw mango.,side|snack,3,false,false,false
frozen_vegetables,Frozen vegetables,produce,85,bag,454,true,true,true,true,false,false,none,stable,75,Mixed frozen vegetables for quick meals.,side|snack|dinner,4,true,false,true
